 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,278,278,278,348.000,77.333,1,1,13
2,0,307,307,307,354.000,146.333,1,2,17
3,0,302,302,302,360.333,183.667,1,1,19
4,0,305,305,305,499.333,207.000,1,2,24
5,0,305,305,305,462.000,88.667,1,3,17
6,0,312,312,312,419.333,57.667,1,3,15
7,0,305,305,305,347.667,134.667,1,4,19
8,0,312,312,312,442.333,181.667,1,15,27
9,0,308,308,308,485.667,128.000,1,8,2
10,0,308,308,308,320.333,75.000,1,7,15
11,0,309,309,309,434.667,122.000,1,7,15
12,0,302,302,302,360.667,68.333,1,4,23
13,0,321,321,321,348.000,21.667,1,4,7
14,0,310,310,310,276.667,127.667,1,4,45
15,0,272,272,272,353.000,110.333,1,1,24
16,0,309,309,309,363.667,179.667,1,7,28
17,0,306,306,306,466.000,35.333,1,11,20
18,0,301,301,301,393.000,15.333,1,13,15
19,0,313,313,313,362.667,121.333,1,15,35
20,0,312,312,312,492.667,107.667,1,15,26
21,0,314,314,314,375.667,160.333,1,15,10
22,0,311,311,311,443.667,178.333,1,14,7
23,0,278,278,278,155.000,183.000,1,1,16
24,0,321,321,321,145.667,55.000,1,4,21
25,0,307,307,307,154.333,208.333,1,4,12
26,0,316,316,316,211.667,144.000,1,6,6
27,0,311,311,311,206.667,202.000,1,7,29
28,0,312,312,312,84.667,97.000,1,8,16
29,0,312,312,312,229.333,45.000,1,9,21
30,0,304,304,304,138.333,52.333,1,12,13
31,0,277,277,277,428.667,346.333,1,1,13
32,0,311,311,311,354.333,275.333,1,2,17
33,0,308,308,308,365.333,336.000,1,2,21
34,0,281,281,281,366.333,379.000,1,1,17
35,0,275,275,275,406.333,415.333,1,1,25
36,0,275,275,275,267.333,307.667,1,1,20
37,0,308,308,308,357.667,484.667,1,3,22
38,0,320,320,320,482.000,413.667,1,3,16
39,0,307,307,307,296.667,425.667,1,3,11
40,0,315,315,315,426.000,322.667,1,5,24
41,0,315,315,315,367.333,436.667,1,5,14
42,0,335,335,335,427.333,393.333,1,7,18
43,0,324,324,324,318.000,260.000,1,8,10
44,0,312,312,312,400.333,283.000,1,14,24
45,0,310,310,310,319.667,314.333,1,15,21
46,0,315,315,315,489.333,478.333,1,15,18
47,0,311,311,311,262.000,443.000,1,14,14
48,0,304,304,304,421.667,365.667,1,15,16
49,0,313,313,313,215.000,458.000,1,9,13
50,0,276,276,276,224.667,415.000,1,1,9
51,0,281,281,281,128.667,304.333,1,1,16
52,0,285,285,285,149.667,330.000,1,1,25
53,0,304,304,304,40.333,398.333,1,2,24
54,0,312,312,312,112.500,248.500,1,2,16
55,0,310,310,310,131.333,424.667,1,5,15
56,0,310,310,310,135.000,417.333,1,6,29
57,0,310,310,310,195.000,345.000,1,7,25
58,0,309,309,309,75.000,342.667,1,6,26
59,0,320,320,320,377.000,320.000,1,6,4
60,0,310,310,310,140.667,373.333,1,13,15
61,0,307,307,307,174.667,390.000,1,15,15
