 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,304,304,304,439,149,1,2,10
2,0,312,312,312,360,62,1,4,26
3,0,311,311,311,434,12,1,8,17
4,0,310,310,310,265,147,1,4,25
5,0,311,311,311,55,254,1,3,10
6,0,312,312,312,38,276,1,2,20
7,0,308,308,308,16,147,1,2,17
8,0,312,312,312,69,350,1,1,20
9,0,325,325,325,356,251,1,1,12
10,0,312,312,312,377,296,1,1,19
11,0,316,316,316,421,354,1,1,10
12,0,308,308,308,443,479,1,1,19
13,0,309,309,309,441,436,1,1,21
14,0,315,315,315,472,369,1,2,13
15,0,313,313,313,477,258,1,2,2
16,0,318,318,318,291,263,1,3,20
17,0,310,310,310,363,326,1,3,40
18,0,310,310,310,248,363,1,3,12
19,0,309,309,309,164,385,1,3,7
20,0,307,307,307,134,375,1,4,20
21,0,309,309,309,201,109,1,6,22
22,0,311,311,311,54,102,1,6,8
23,0,311,311,311,145,131,1,7,3
24,0,314,314,314,114,87,1,7,12
25,0,309,309,309,206,224,1,5,14
26,0,311,311,311,388,103,1,6,14
27,0,315,315,315,431,140,1,6,26
28,0,313,313,313,374,355,1,5,19
29,0,315,315,315,424,223,1,4,28
30,0,314,314,314,462,239,1,9,16
31,0,349,349,349,468,300,1,9,19
32,0,309,309,309,45,474,1,4,25
33,0,308,308,308,229,441,1,6,27
34,0,312,312,312,140,438,1,7,26
35,0,306,306,306,169,33,1,9,7
36,0,303,303,303,214,19,1,9,31
37,0,310,310,310,92,17,1,12,23
38,0,304,304,304,237,220,1,8,22
39,0,311,311,311,217,290,1,8,25
40,0,311,311,311,372,257,1,7,2
41,0,309,309,309,111,210,1,11,14
42,0,308,308,308,160,467,1,11,22
43,0,311,311,311,278,426,1,12,23
44,0,315,315,315,309,387,1,12,29
45,0,310,310,310,350,482,1,12,25
46,0,310,310,310,422,441,1,12,2
47,0,307,307,307,293,207,1,13,19
48,0,314,314,314,355,57,1,12,23
49,0,313,313,313,447,113,1,10,13
50,0,313,313,313,407,478,1,13,17
51,0,307,307,307,282,378,1,15,15
52,0,308,308,308,150,67,1,15,1
