 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,1024,1024,1024,188.667,210.000,1,2,23
2,0,1704,1704,1704,176.333,186.667,1,3,30
3,0,950,950,950,126.000,213.333,1,1,26
4,0,2758,2758,2758,13.667,237.667,1,1,21
5,0,751,751,751,122.667,112.333,1,5,8
6,0,1251,1251,1251,210.333,86.667,1,5,11
7,0,1158,1158,1158,138.667,97.333,1,4,5
8,0,946,946,946,78.667,205.333,1,5,16
9,0,1009,1009,1009,126.333,130.000,1,5,13
10,0,842,842,842,222.333,222.667,1,5,6
11,0,726,726,726,180.333,224.333,1,6,26
12,0,662,662,662,72.333,173.333,1,6,16
13,0,1374,1374,1374,117.000,176.667,1,6,62
14,0,621,621,621,22.667,149.667,1,6,26
15,0,909,909,909,22.667,216.667,1,8,8
16,0,774,774,774,120.667,191.667,1,8,11
17,0,685,685,685,104.333,211.333,1,8,20
18,0,894,894,894,18.333,203.000,1,8,42
19,0,712,712,712,208.333,170.000,1,5,32
20,0,710,710,710,112.667,241.000,1,11,31
21,0,693,693,693,80.000,87.333,1,13,44
22,0,1153,1153,1153,110.333,171.333,1,13,11
23,0,1025,1025,1025,210.667,224.000,1,14,31
24,0,2030,2030,2030,37.667,293.667,1,2,4
25,0,894,894,894,94.667,355.667,1,1,19
26,0,1352,1352,1352,92.000,449.667,1,2,34
27,0,980,980,980,178.000,437.333,1,1,27
28,0,1323,1323,1323,186.333,256.000,1,3,53
29,0,1036,1036,1036,126.667,375.333,1,3,10
30,0,805,805,805,124.333,398.333,1,3,25
31,0,1892,1892,1892,98.000,282.333,1,3,17
32,0,754,754,754,88.000,263.000,1,4,18
33,0,636,636,636,75.333,467.333,1,3,28
34,0,1181,1181,1181,188.000,305.333,1,3,24
35,0,669,669,669,220.667,401.333,1,4,59
36,0,570,570,570,114.000,334.000,1,5,19
37,0,1259,1259,1259,31.333,265.000,1,6,25
38,0,926,926,926,141.333,286.333,1,6,27
39,0,799,799,799,50.000,450.333,1,7,10
40,0,897,897,897,183.000,384.000,2,8,22
41,0,893,893,893,146.667,382.000,2,7,18
42,0,887,887,887,226.333,438.667,2,8,15
43,0,904,904,904,62.000,443.667,2,9,16
44,0,890,890,890,164.000,354.333,2,10,11
45,0,882,882,882,29.667,240.000,2,9,49
46,0,902,902,902,49.000,457.333,2,10,22
47,0,882,882,882,61.667,333.000,2,13,24
48,0,892,892,892,119.667,249.667,2,13,4
49,0,887,887,887,115.667,375.333,2,14,34
50,0,900,900,900,29.000,317.333,2,15,17
51,0,885,885,885,188.000,433.333,2,15,31
52,0,612,612,612,448.333,42.333,1,1,21
53,0,1063,1063,1063,255.333,187.000,1,1,57
54,0,1324,1324,1324,244.667,188.667,1,1,24
55,0,690,690,690,290.333,201.667,1,5,65
56,0,622,622,622,240.333,153.000,1,7,21
57,0,724,724,724,421.333,211.667,1,8,7
58,0,844,844,844,312.000,184.333,1,9,19
59,0,788,788,788,346.333,69.667,1,9,23
60,0,830,830,830,423.000,18.000,1,9,22
61,0,749,749,749,395.667,150.000,1,9,31
62,0,1097,1097,1097,395.000,245.500,1,9,32
63,0,621,621,621,409.000,41.333,1,10,39
64,0,819,819,819,393.667,144.000,1,12,38
65,0,1026,1026,1026,227.000,134.000,1,14,33
66,0,646,646,646,360.667,75.333,1,14,30
67,0,849,849,849,326.667,26.000,1,15,52
68,0,1358,1358,1358,284.000,127.000,1,14,25
69,0,1106,1106,1106,269.667,465.000,1,2,17
70,0,868,868,868,250.000,465.333,1,3,25
71,0,1717,1717,1717,365.333,345.667,1,3,39
72,0,850,850,850,358.500,478.250,1,3,64
73,0,893,893,893,442.250,347.250,1,7,45
74,0,1032,1032,1032,321.000,421.250,1,8,41
75,0,800,800,800,345.500,464.250,1,8,45
76,0,909,909,909,352.750,443.500,1,6,28
77,0,800,800,800,291.750,436.250,1,10,31
78,0,1459,1459,1459,439.500,284.000,1,10,8
79,0,757,757,757,295.500,324.000,1,12,20
80,0,916,916,916,399.500,347.000,1,13,14
81,0,732,732,732,330.500,455.500,1,13,22
82,0,1075,1075,1075,333.500,291.500,1,13,48
83,0,817,817,817,262.667,320.667,1,15,20
