 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,2080,2080,2080,159.500,197.000,1,1,37
2,0,1411,1411,1411,126.000,4.500,1,1,16
3,0,3018,3018,3018,222.000,127.000,1,5,27
4,0,2160,2160,2160,229.000,45.000,1,5,23
5,0,1634,1634,1634,146.667,255.667,1,5,30
6,0,2592,2592,2592,213.333,302.333,1,5,22
7,0,1852,1852,1852,69.500,69.500,1,8,15
8,0,1991,1991,1991,88.000,239.000,1,7,59
9,0,1744,1744,1744,51.000,100.500,1,10,37
10,0,1412,1412,1412,40.500,26.500,1,14,29
11,0,1703,1703,1703,211.000,82.500,1,15,37
12,0,1515,1515,1515,11.500,63.500,1,15,39
13,0,1947,1947,1947,306.000,159.000,1,1,24
14,0,1572,1572,1572,256.500,103.500,1,2,30
15,0,1813,1813,1813,283.500,13.000,1,3,22
16,0,1940,1940,1940,327.500,81.000,1,4,21
17,0,1595,1595,1595,358.500,53.500,1,5,19
18,0,1907,1907,1907,274.500,50.000,1,6,42
19,0,3126,3126,3126,298.500,35.500,1,8,39
20,0,1810,1810,1810,383.500,64.000,1,10,36
21,0,1944,1944,1944,297.000,106.000,1,10,50
22,0,1727,1727,1727,309.000,85.500,1,12,20
23,0,1543,1543,1543,321.000,94.500,1,14,29
24,0,1699,1699,1699,258.500,323.500,1,1,51
25,0,1522,1522,1522,352.000,457.500,1,2,69
26,0,1526,1526,1526,358.500,396.000,1,11,32
27,0,2871,2871,2871,282.500,292.500,1,10,22
28,0,1687,1687,1687,247.333,476.333,1,10,38
29,0,1529,1529,1529,435.500,361.000,1,14,37
30,0,1943,1943,1943,260.500,339.500,1,16,17
31,0,1490,1490,1490,214.000,291.500,1,1,40
32,0,1605,1605,1605,230.500,437.500,1,2,28
33,0,1699,1699,1699,113.000,310.000,1,3,40
34,0,1542,1542,1542,169.500,459.500,1,3,28
35,0,1531,1531,1531,133.500,492.500,1,5,13
36,0,1436,1436,1436,191.500,493.000,1,5,65
37,0,1171,1171,1171,122.000,322.000,2,13,56
38,0,1240,1240,1240,113.667,287.000,2,14,23
39,0,1168,1168,1168,7.333,322.333,2,15,50
40,0,1208,1208,1208,114.000,361.333,2,1,53
