 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,1543,1543,1543,369.333,170.667,3,2,22
2,0,1266,1266,1266,385.333,37.333,3,2,14
3,0,1446,1446,1446,490.667,274.000,3,4,15
4,0,1211,1211,1211,461.333,496.667,3,3,23
5,0,1350,1350,1350,462.000,440.000,3,6,10
6,0,1257,1257,1257,461.333,414.000,3,6,18
7,0,1317,1317,1317,435.333,413.333,3,6,23
8,0,1256,1256,1256,198.000,255.333,3,7,1
9,0,1466,1466,1466,460.667,372.000,3,7,35
10,0,1380,1380,1380,394.667,309.333,3,7,37
11,0,1270,1270,1270,338.667,450.000,3,8,21
12,0,1340,1340,1340,297.333,206.667,3,9,16
13,0,1218,1218,1218,466.667,239.333,3,11,16
14,0,1201,1201,1201,327.333,52.667,3,7,19
15,0,1208,1208,1208,296.667,281.333,3,10,44
16,0,1179,1179,1179,64.667,233.333,3,12,6
17,0,1351,1351,1351,356.667,204.000,3,13,36
18,0,1267,1267,1267,296.667,108.000,3,13,23
19,0,1188,1188,1188,243.333,68.000,3,13,23
20,0,1245,1245,1245,482.667,472.000,3,14,9
21,0,1462,1462,1462,450.000,231.333,3,11,12
22,0,1242,1242,1242,420.000,390.667,3,16,29
23,0,1175,1175,1175,144.000,78.667,3,16,1
24,0,1482,1482,1482,443.333,324.000,3,7,1
25,0,1235,1235,1235,454.000,316.667,3,5,24
