 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,458,458,458,156.000,285.333,4,1,31
2,0,467,467,467,302.667,206.000,4,1,17
3,0,468,468,468,266.667,62.000,4,5,5
4,0,451,451,451,402.667,110.000,4,4,23
5,0,461,461,461,378.667,163.333,4,6,2
6,0,452,452,452,356.667,287.333,4,5,1
7,0,456,456,456,170.667,116.000,4,8,12
8,0,460,460,460,234.667,104.000,4,7,9
9,0,452,452,452,293.333,20.667,4,8,7
10,0,451,451,451,15.333,313.333,4,7,6
11,0,451,451,451,374.667,114.000,4,9,21
12,0,452,452,452,414.667,80.667,4,9,12
13,0,456,456,456,137.333,137.333,4,8,6
14,0,457,457,457,238.000,212.000,4,10,7
15,0,460,460,460,383.333,266.667,4,10,58
16,0,453,453,453,356.667,252.000,4,11,16
17,0,464,464,464,208.667,70.000,4,13,69
18,0,453,453,453,116.667,420.667,4,13,15
19,0,458,458,458,16.667,343.333,4,12,18
20,0,456,456,456,421.333,194.000,4,14,2
21,0,450,450,450,342.667,17.333,4,15,4
22,0,450,450,450,104.000,181.333,4,15,15
23,0,461,461,461,434.000,90.000,4,15,12
24,0,458,458,458,331.333,196.000,4,14,5
25,0,456,456,456,318.667,56.667,4,13,6
