 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,318,318,318,44.667,146.667,1,1,21
2,0,311,311,311,129.000,186.333,1,1,15
3,0,312,312,312,239.667,32.667,1,2,41
4,0,307,307,307,106.667,147.333,1,4,40
5,0,309,309,309,120.333,225.333,1,5,47
6,0,311,311,311,220.667,167.000,1,4,14
7,0,306,306,306,18.000,44.000,1,3,22
8,0,307,307,307,138.000,56.667,1,8,23
9,0,323,323,323,61.333,239.333,1,7,42
10,0,309,309,309,125.000,122.333,1,8,20
11,0,307,307,307,212.333,249.667,1,8,24
12,0,305,305,305,92.000,54.000,1,10,21
13,0,309,309,309,175.000,186.000,1,13,38
14,0,313,313,313,175.333,1.000,1,12,21
15,0,305,305,305,100.000,283.000,1,13,49
16,0,313,313,313,13.333,70.333,1,15,37
17,0,313,313,313,439.333,183.000,1,2,28
18,0,310,310,310,348.000,20.333,1,2,39
19,0,304,304,304,439.667,103.333,1,4,27
20,0,310,310,310,427.333,3.667,1,3,37
21,0,305,305,305,305.667,7.000,1,5,37
22,0,308,308,308,494.333,51.333,1,5,56
23,0,307,307,307,392.333,206.000,1,6,28
24,0,308,308,308,344.333,173.667,1,8,41
25,0,307,307,307,310.667,76.000,1,10,35
26,0,310,310,310,442.000,9.000,1,11,60
27,0,313,313,313,240.333,374.000,1,2,24
28,0,311,311,311,73.000,366.667,1,1,30
29,0,312,312,312,37.667,449.667,1,1,37
30,0,310,310,310,68.333,412.000,1,4,33
31,0,308,308,308,78.000,429.000,1,4,21
32,0,311,311,311,132.333,434.667,1,6,19
33,0,307,307,307,55.667,275.000,1,6,50
34,0,305,305,305,37.000,396.000,1,7,49
35,0,312,312,312,187.667,381.333,1,7,25
36,0,300,300,300,196.667,299.667,1,8,40
37,0,306,306,306,89.333,258.333,1,8,40
38,0,308,308,308,210.000,502.667,1,8,28
39,0,306,306,306,114.333,454.333,1,8,40
40,0,300,300,300,233.667,457.333,1,7,40
41,0,312,312,312,47.333,307.333,1,15,41
42,0,308,308,308,59.333,413.000,1,15,40
43,0,315,315,315,183.333,283.667,1,14,32
44,0,304,304,304,227.667,493.333,1,15,77
45,0,313,313,313,358.667,379.000,1,2,33
46,0,314,314,314,334.667,380.000,1,2,38
47,0,307,307,307,367.667,442.667,1,2,36
48,0,308,308,308,378.000,390.667,1,1,37
49,0,311,311,311,499.000,464.667,1,1,33
50,0,308,308,308,473.333,409.000,1,1,28
51,0,305,305,305,412.333,463.667,1,2,16
52,0,313,313,313,485.333,374.000,1,1,42
53,0,308,308,308,408.000,381.667,1,1,43
54,0,309,309,309,494.000,399.000,1,1,2
55,0,311,311,311,453.667,292.333,1,1,76
56,0,305,305,305,480.333,411.000,1,5,67
57,0,308,308,308,450.667,498.333,1,6,24
58,0,306,306,306,450.333,485.333,1,5,30
59,0,312,312,312,487.667,348.000,1,6,80
60,0,305,305,305,486.000,370.000,1,6,13
61,0,305,305,305,491.667,419.667,1,9,50
62,0,310,310,310,482.333,423.000,1,9,61
63,0,308,308,308,442.000,461.000,1,9,20
64,0,306,306,306,328.000,454.333,1,9,26
65,0,307,307,307,343.000,494.333,1,10,23
66,0,309,309,309,322.000,434.333,1,9,28
67,0,312,312,312,354.667,312.000,1,10,54
68,0,312,312,312,378.333,490.333,1,12,24
69,0,315,315,315,205.667,306.667,1,2,49
70,0,319,319,319,215.500,283.000,1,1,57
71,0,309,309,309,112.000,410.667,1,1,57
72,0,309,309,309,135.333,404.667,1,1,58
