 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,6708,6708,6708,174.000,222.667,1,2,1
2,0,4000,4000,4000,286.000,137.333,1,3,1
3,0,4585,4585,4585,148.000,169.333,1,1,1
4,0,2818,2818,2818,242.000,292.667,1,1,1
5,0,4537,4537,4537,398.000,251.333,1,4,1
6,0,4463,4463,4463,20.000,216.667,1,3,1
7,0,4742,4742,4742,98.000,388.000,1,4,1
8,0,4464,4464,4464,326.000,312.667,1,4,1
9,0,5466,5466,5466,315.333,254.667,1,5,1
10,0,7458,7458,7458,120.667,208.667,1,5,1
11,0,2392,2392,2392,132.667,145.333,1,5,1
12,0,2404,2404,2404,182.667,124.000,1,6,1
13,0,8653,8653,8653,354.667,268.000,1,7,1
14,0,2757,2757,2757,62.667,130.000,1,8,1
15,0,1986,1986,1986,38.667,136.667,1,9,1
16,0,3772,3772,3772,9.333,164.667,1,9,1
17,0,7486,7486,7486,437.333,224.667,1,9,1
18,0,3599,3599,3599,216.000,161.333,1,4,1
19,0,2560,2560,2560,308.000,127.333,1,9,1
20,0,3016,3016,3016,272.667,167.333,1,9,1
21,0,4652,4652,4652,216.667,208.667,1,9,1
22,0,3276,3276,3276,176.667,276.000,1,9,1
23,0,2703,2703,2703,197.333,265.333,1,10,1
24,0,3703,3703,3703,288.667,336.667,1,9,1
25,0,3232,3232,3232,7.333,7.333,1,12,1
26,0,5249,5249,5249,359.333,382.667,1,11,1
27,0,3078,3078,3078,288.667,459.333,1,13,1
28,0,3341,3341,3341,138.000,377.333,1,14,1
29,0,3661,3661,3661,134.000,238.667,1,14,1
30,0,4321,4321,4321,145.333,252.000,1,14,1
31,0,3624,3624,3624,382.667,366.667,1,14,1
32,0,3497,3497,3497,410.000,244.667,1,7,1
33,0,2368,2368,2368,394.000,385.333,1,11,1
34,0,3320,3320,3320,368.000,318.667,1,11,1
35,0,1555,1555,1555,90.000,106.000,1,12,1
36,0,1881,1881,1881,102.000,128.000,1,13,1
37,0,2986,2986,2986,131.333,60.667,1,13,1
38,0,4248,4248,4248,179.333,60.000,1,13,1
39,0,3563,3563,3563,257.333,416.000,1,13,1
40,0,4802,4802,4802,270.667,254.667,1,13,1
41,0,2299,2299,2299,442.000,184.667,1,13,1
42,0,2539,2539,2539,397.333,181.333,1,12,1
43,0,3197,3197,3197,427.333,144.667,1,14,1
44,0,2915,2915,2915,428.000,126.667,1,15,1
45,0,1876,1876,1876,205.333,364.000,1,14,1
46,0,2225,2225,2225,216.000,96.000,1,12,1
47,0,2770,2770,2770,275.333,82.000,1,14,1
48,0,1417,1417,1417,288.000,69.333,1,15,1
49,0,1728,1728,1728,265.333,122.000,1,15,1
50,0,2888,2888,2888,263.333,212.667,1,15,1
51,0,2356,2356,2356,416.667,277.333,1,15,1
52,0,2641,2641,2641,223.333,447.333,1,15,1
53,0,1832,1832,1832,70.000,116.000,1,15,1
54,0,1533,1533,1533,84.000,59.333,1,15,1
55,0,1962,1962,1962,60.000,38.667,1,15,1
56,0,2378,2378,2378,366.667,190.667,1,15,1
57,0,2692,2692,2692,426.000,230.000,1,14,1
58,0,1818,1818,1818,251.333,50.667,1,13,1
59,0,2238,2238,2238,374.000,222.667,1,15,1
60,0,2489,2489,2489,460.000,414.667,1,15,1
61,0,1242,1242,1242,158.000,422.667,1,15,1
62,0,2775,2775,2775,158.000,86.000,1,15,1
63,0,1575,1575,1575,378.667,176.000,1,15,1
64,0,2220,2220,2220,2.667,36.000,1,10,1
