 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,961,961,961,268,470,1,1,1
2,0,6222,6222,6222,177,117,1,2,1
3,0,4906,4906,4906,386,156,1,2,1
4,0,3706,3706,3706,176,402,1,2,1
5,0,2805,2805,2805,219,410,1,2,1
6,0,2255,2255,2255,110,23,1,3,1
7,0,3368,3368,3368,300,459,1,3,1
8,0,2037,2037,2037,332,345,1,3,1
9,0,2112,2112,2112,187,358,1,5,1
10,0,3038,3038,3038,192,338,1,3,1
11,0,1645,1645,1645,476,213,1,1,1
12,0,4457,4457,4457,248,136,1,3,1
13,0,1273,1273,1273,454,460,1,5,1
14,0,4269,4269,4269,431,463,1,5,1
15,0,1413,1413,1413,442,493,1,6,1
16,0,2823,2823,2823,378,310,1,5,1
17,0,3706,3706,3706,148,232,1,6,1
18,0,2999,2999,2999,231,258,1,7,1
19,0,3726,3726,3726,239,268,1,10,1
20,0,3009,3009,3009,95,143,1,8,1
21,0,5011,5011,5011,146,20,1,7,1
22,0,4067,4067,4067,285,340,1,9,1
23,0,2710,2710,2710,234,85,1,9,1
24,0,3179,3179,3179,363,282,1,7,1
25,0,1496,1496,1496,465,262,1,7,1
26,0,1250,1250,1250,335,258,1,7,1
27,0,1250,1250,1250,343,127,1,6,1
28,0,2054,2054,2054,308,493,1,8,1
29,0,2224,2224,2224,295,471,1,11,1
30,0,3689,3689,3689,276,206,1,13,1
31,0,2314,2314,2314,99,187,1,14,1
32,0,1418,1418,1418,264,295,1,14,1
33,0,850,850,850,464,306,1,15,1
34,0,773,773,773,206,64,1,15,1
35,0,2473,2473,2473,134,55,1,15,1
36,0,1479,1479,1479,96,54,1,15,1
37,0,1990,1990,1990,87,32,1,14,1
38,0,2052,2052,2052,71,28,1,14,1
39,0,994,994,994,50,29,1,14,1
40,0,1859,1859,1859,64,9,1,9,1
41,0,765,765,765,430,34,1,8,1
42,0,839,839,839,369,420,1,5,1
43,0,1635,1635,1635,274,158,1,12,1
44,0,2734,2734,2734,354,260,1,15,1
