 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,9551,9551,9551,86.000,408.000,1,2,1
2,0,4642,4642,4642,14.000,342.000,1,2,1
3,0,3155,3155,3155,41.333,295.333,1,2,1
4,0,3172,3172,3172,182.667,278.333,1,3,1
5,0,5775,5775,5775,74.667,298.000,1,4,1
6,0,4574,4574,4574,17.333,318.000,1,5,1
7,0,2160,2160,2160,152.333,364.000,1,5,1
8,0,4646,4646,4646,86.667,396.667,1,7,1
9,0,1810,1810,1810,230.000,470.333,1,7,1
10,0,8708,8708,8708,211.333,466.000,1,10,1
11,0,5006,5006,5006,104.333,456.667,1,11,1
12,0,6290,6290,6290,96.000,445.333,1,10,1
13,0,8008,8008,8008,122.333,303.667,1,11,1
14,0,4265,4265,4265,5.667,251.000,1,12,1
15,0,1912,1912,1912,206.000,323.333,1,7,1
16,0,2787,2787,2787,35.667,258.000,1,1,1
17,0,4827,4827,4827,128.500,254.000,1,6,1
18,0,12063,12063,12063,127.000,239.000,1,7,1
19,0,2318,2318,2318,80.000,242.500,1,6,1
20,0,3727,3727,3727,86.000,227.000,1,6,1
21,0,5769,5769,5769,115.000,218.500,1,7,1
22,0,937,937,937,18.333,131.667,1,1,1
23,0,4209,4209,4209,156.667,13.000,1,3,1
24,0,10356,10356,10356,183.667,21.667,1,5,1
25,0,3232,3232,3232,169.000,129.000,1,7,1
26,0,3465,3465,3465,110.333,35.667,1,11,1
27,0,5139,5139,5139,177.667,161.333,1,12,1
28,0,2868,2868,2868,116.000,200.500,1,11,1
29,0,6015,6015,6015,425.333,151.667,1,2,1
30,0,10747,10747,10747,339.333,141.000,1,6,1
31,0,1374,1374,1374,447.000,52.000,1,11,1
32,0,3830,3830,3830,269.000,27.000,1,12,1
33,0,4542,4542,4542,288.333,215.333,1,11,1
34,0,1970,1970,1970,300.333,195.333,1,12,1
35,0,2230,2230,2230,227.000,181.000,1,2,1
36,0,1430,1430,1430,252.000,205.000,1,6,1
37,0,5268,5268,5268,254.500,252.000,1,11,1
38,0,9278,9278,9278,295.500,253.000,1,10,1
39,0,10851,10851,10851,276.500,271.000,1,8,1
40,0,9857,9857,9857,283.500,294.500,1,12,1
41,0,3212,3212,3212,418.000,257.000,1,12,1
42,0,6950,6950,6950,318.500,336.000,1,12,1
43,0,13717,13717,13717,297.000,377.000,1,7,1
44,0,12511,12511,12511,297.333,360.333,1,8,1
45,0,7793,7793,7793,285.000,351.000,1,7,1
