 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,3370,3370,3370,83,300,1,1,1
2,0,3890,3890,3890,116,180,1,3,1
3,0,4988,4988,4988,127,187,1,6,1
4,0,7932,7932,7932,107,222,1,4,1
5,0,3721,3721,3721,86,231,1,4,1
6,0,2075,2075,2075,94,271,1,6,1
7,0,3312,3312,3312,65,297,1,7,1
8,0,4638,4638,4638,310,199,1,8,1
9,0,7361,7361,7361,323,246,1,8,1
10,0,5397,5397,5397,255,262,1,10,1
11,0,1473,1473,1473,274,400,1,10,1
12,0,2203,2203,2203,27,241,1,4,1
13,0,864,864,864,89,144,1,1,1
14,0,2992,2992,2992,135,123,1,2,1
15,0,4359,4359,4359,110,83,1,3,1
16,0,3109,3109,3109,193,93,1,4,1
17,0,2486,2486,2486,58,66,1,5,1
18,0,5435,5435,5435,263,112,1,4,1
19,0,5523,5523,5523,477,297,1,4,1
20,0,3460,3460,3460,471,329,1,5,1
21,0,4345,4345,4345,368,417,1,5,1
22,0,3691,3691,3691,284,449,1,4,1
23,0,2857,2857,2857,299,473,1,4,1
24,0,2028,2028,2028,383,457,1,4,1
25,0,2349,2349,2349,128,312,1,3,1
26,0,3501,3501,3501,143,93,1,6,1
27,0,2394,2394,2394,318,6,1,6,1
28,0,1598,1598,1598,0,462,1,5,1
29,0,1607,1607,1607,154,159,1,7,1
30,0,2953,2953,2953,157,141,1,9,1
31,0,1428,1428,1428,371,380,1,9,1
32,0,1850,1850,1850,442,191,1,9,1
33,0,3901,3901,3901,215,123,1,10,1
34,0,3042,3042,3042,414,54,1,10,1
35,0,2405,2405,2405,367,85,1,10,1
36,0,965,965,965,349,98,1,12,1
37,0,1953,1953,1953,315,55,1,10,1
38,0,1535,1535,1535,282,82,1,12,1
39,0,2109,2109,2109,448,63,1,11,1
40,0,2804,2804,2804,467,89,1,13,1
41,0,1055,1055,1055,457,113,1,10,1
42,0,1358,1358,1358,435,130,1,8,1
43,0,2722,2722,2722,359,303,1,13,1
44,0,3145,3145,3145,190,274,1,13,1
45,0,1965,1965,1965,103,416,1,14,1
46,0,1950,1950,1950,112,452,1,15,1
47,0,1889,1889,1889,28,422,1,15,1
48,0,4031,4031,4031,184,271,1,15,1
49,0,928,928,928,292,256,1,15,1
50,0,1363,1363,1363,378,19,1,15,1
51,0,3918,3918,3918,253,3,1,15,1
52,0,1331,1331,1331,326,338,1,15,1
53,0,2122,2122,2122,78,221,1,10,1
54,0,1751,1751,1751,140,78,1,13,1
55,0,1387,1387,1387,14,25,1,9,1
56,0,2940,2940,2940,459,348,1,13,1
57,0,2165,2165,2165,482,409,1,13,1
58,0,2059,2059,2059,3,374,1,11,1
59,0,1305,1305,1305,61,495,1,6,1
