 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,507,507,507,283.333,94.000,4,1,1
2,0,516,516,516,313.333,179.333,4,5,1
3,0,495,495,495,120.667,412.000,4,5,1
4,0,482,482,482,5.333,108.000,4,8,1
5,0,490,490,490,270.000,200.667,4,9,1
6,0,500,500,500,232.667,226.000,4,10,1
7,0,500,500,500,307.333,236.000,4,10,1
8,0,520,520,520,359.333,334.000,4,11,1
9,0,516,516,516,188.667,389.333,4,13,1
10,0,484,484,484,369.333,223.333,4,13,1
11,0,499,499,499,331.333,139.333,4,12,1
12,0,497,497,497,374.000,168.667,4,12,1
13,0,540,540,540,170.667,196.667,4,15,1
14,0,501,501,501,128.667,206.000,4,15,1
15,0,488,488,488,298.000,200.000,4,15,1
16,0,485,485,485,287.333,239.333,4,14,1
17,0,562,562,562,248.667,278.667,4,15,1
18,0,496,496,496,222.667,248.667,4,15,1
19,0,490,490,490,186.667,272.000,4,15,1
20,0,482,482,482,210.667,272.000,4,15,1
21,0,513,513,513,341.333,280.000,4,7,1
22,0,504,504,504,215.333,126.667,4,11,1
23,0,479,479,479,194.667,112.000,4,14,1
24,0,497,497,497,210.667,88.000,4,14,1
25,0,478,478,478,234.667,112.000,4,15,1
26,0,476,476,476,248.000,128.667,4,15,1
27,0,492,492,492,200.667,152.667,4,15,1
28,0,505,505,505,83.333,106.667,4,15,1
29,0,478,478,478,129.333,127.333,4,15,1
30,0,505,505,505,360.667,212.000,4,15,1
