 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,315,315,315,108.333,85.333,1,2,1
2,0,313,313,313,4.667,83.333,1,2,1
3,0,306,306,306,120.000,5.333,1,5,1
4,0,312,312,312,175.667,144.333,1,6,1
5,0,312,312,312,81.000,148.667,1,6,1
6,0,316,316,316,61.667,190.000,1,6,1
7,0,324,324,324,129.000,129.000,1,4,1
8,0,309,309,309,225.000,29.000,1,4,1
9,0,309,309,309,4.000,134.333,1,4,1
10,0,311,311,311,25.667,14.667,1,3,1
11,0,309,309,309,65.000,54.000,1,3,1
12,0,316,316,316,54.333,39.667,1,5,1
13,0,307,307,307,40.667,26.667,1,6,1
14,0,311,311,311,125.333,26.000,1,8,1
15,0,313,313,313,112.000,52.000,1,10,1
16,0,329,329,329,150.333,63.333,1,4,1
17,0,321,321,321,132.000,57.667,1,4,1
18,0,305,305,305,171.667,57.667,1,15,1
19,0,312,312,312,184.667,61.667,1,15,1
20,0,305,305,305,206.667,6.333,1,15,1
21,0,311,311,311,195.667,16.333,1,15,1
22,0,312,312,312,236.000,228.667,1,15,1
23,0,304,304,304,52.667,137.333,1,15,1
24,0,311,311,311,150.000,142.333,1,15,1
25,0,306,306,306,348.667,30.000,1,3,1
26,0,313,313,313,343.333,195.667,1,6,1
27,0,312,312,312,354.333,167.333,1,5,1
28,0,314,314,314,281.667,150.667,1,11,1
29,0,312,312,312,393.333,238.667,1,11,1
30,0,314,314,314,305.333,143.667,1,15,1
31,0,318,318,318,17.000,458.000,1,2,1
32,0,310,310,310,190.333,487.000,1,4,1
33,0,316,316,316,175.333,467.667,1,3,1
34,0,313,313,313,64.667,277.333,1,2,1
35,0,316,316,316,34.667,262.667,1,4,1
36,0,321,321,321,249.333,448.000,1,7,1
37,0,317,317,317,167.333,367.667,1,11,1
38,0,316,316,316,87.333,360.333,1,15,1
39,0,309,309,309,102.000,431.000,1,15,1
40,0,315,315,315,180.333,399.000,1,15,1
41,0,313,313,313,229.333,327.333,1,15,1
42,0,313,313,313,330.667,413.000,1,2,1
43,0,309,309,309,479.667,432.333,1,5,1
44,0,311,311,311,285.667,367.000,1,9,1
45,0,315,315,315,400.667,307.333,1,9,1
46,0,310,310,310,497.333,279.667,1,11,1
47,0,309,309,309,486.000,280.333,1,14,1
48,0,314,314,314,279.667,424.000,1,14,1
49,0,312,312,312,262.667,378.333,1,15,1
50,0,306,306,306,259.500,342.500,1,15,1
