 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,3123,3123,3123,156.000,445.000,1,1,1
2,0,2788,2788,2788,222.000,459.000,1,2,1
3,0,3579,3579,3579,282.000,454.000,1,3,1
4,0,3088,3088,3088,136.000,395.000,1,4,1
5,0,3601,3601,3601,182.000,400.000,1,5,1
6,0,1512,1512,1512,254.000,393.000,1,5,1
7,0,3903,3903,3903,329.000,422.000,1,5,1
8,0,1837,1837,1837,306.000,493.000,1,5,1
9,0,3064,3064,3064,411.000,481.000,1,7,1
10,0,1707,1707,1707,437.000,439.000,1,8,1
11,0,3592,3592,3592,342.000,406.000,1,10,1
12,0,2877,2877,2877,301.000,407.000,1,9,1
13,0,2948,2948,2948,244.000,373.000,1,7,1
14,0,5674,5674,5674,384.000,359.000,1,1,1
15,0,3455,3455,3455,319.000,330.000,1,3,1
16,0,3128,3128,3128,348.000,428.000,1,9,1
17,0,3485,3485,3485,237.000,315.000,1,11,1
18,0,2070,2070,2070,185.000,471.000,1,12,1
19,0,1995,1995,1995,140.000,461.000,1,13,1
20,0,2453,2453,2453,156.000,487.000,1,14,1
21,0,2172,2172,2172,167.667,460.333,1,15,1
22,0,2778,2778,2778,226.333,463.667,1,15,2
23,0,1857,1857,1857,214.000,452.000,1,13,2
24,0,1983,1983,1983,296.333,449.333,1,8,1
25,0,3474,3474,3474,61.333,274.667,1,10,1
26,0,1994,1994,1994,76.000,278.667,1,12,1
27,0,2279,2279,2279,202.000,330.667,1,12,1
28,0,2576,2576,2576,58.500,329.000,1,12,1
29,0,2782,2782,2782,192.333,284.000,1,14,1
30,0,2637,2637,2637,137.667,280.333,1,12,1
31,0,2466,2466,2466,89.000,342.333,1,14,1
32,0,2914,2914,2914,224.333,288.333,1,15,1
33,0,2096,2096,2096,254.000,260.500,1,4,1
34,0,1534,1534,1534,50.500,216.000,1,4,1
35,0,3601,3601,3601,326.000,152.000,1,3,1
36,0,3839,3839,3839,252.000,168.500,1,7,1
37,0,2887,2887,2887,143.500,255.000,1,11,1
38,0,1384,1384,1384,118.500,252.000,1,15,1
39,0,1505,1505,1505,4.000,293.000,1,15,1
40,0,839,839,839,159.500,165.500,1,15,1
41,0,2539,2539,2539,336.000,385.000,1,14,1
42,0,1700,1700,1700,303.000,441.000,1,13,1
43,0,1386,1386,1386,284.500,409.500,1,15,1
44,0,1868,1868,1868,254.000,345.500,1,15,1
45,0,2963,2963,2963,276.500,284.500,1,15,1
46,0,4710,4710,4710,267.500,241.000,1,12,1
47,0,2273,2273,2273,215.000,133.000,1,12,1
48,0,1267,1267,1267,101.500,141.000,1,12,1
49,0,1389,1389,1389,426.667,340.000,1,4,1
50,0,2401,2401,2401,291.333,98.000,1,6,1
51,0,2162,2162,2162,284.667,45.333,1,7,1
52,0,1952,1952,1952,469.333,296.000,1,7,1
53,0,834,834,834,61.333,138.667,1,13,1
54,0,2723,2723,2723,119.667,128.667,1,7,1
55,0,1853,1853,1853,124.000,107.667,1,6,1
56,0,1438,1438,1438,146.333,103.667,1,5,1
57,0,2204,2204,2204,121.000,48.000,1,5,1
58,0,1717,1717,1717,141.333,52.667,1,5,1
59,0,1895,1895,1895,179.667,2.000,1,3,1
60,0,1796,1796,1796,14.500,217.500,1,1,1
61,0,2284,2284,2284,261.000,54.500,1,13,1
62,0,1926,1926,1926,305.000,21.500,1,10,1
63,0,1169,1169,1169,297.000,339.000,1,5,1
64,0,2334,2334,2334,39.000,331.000,1,12,1
65,0,1574,1574,1574,451.333,132.667,1,12,1
66,0,2435,2435,2435,430.667,161.333,1,12,1
67,0,6286,6286,6286,441.333,172.000,1,15,1
68,0,814,814,814,428.667,292.667,1,15,1
69,0,818,818,818,364.000,375.333,1,15,1
70,0,1154,1154,1154,359.333,410.000,1,15,1
71,0,994,994,994,134.000,414.667,1,15,1
72,0,4249,4249,4249,249.333,269.333,1,15,1
73,0,1781,1781,1781,328.000,431.333,1,8,1
