 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,10949,10949,10949,136.000,256.000,1,1,1
2,0,15788,15788,15788,214.667,301.333,1,1,1
3,0,14589,14589,14589,110.000,281.333,1,3,1
4,0,9333,9333,9333,181.333,391.333,1,5,1
5,0,13976,13976,13976,323.333,156.667,1,7,1
6,0,15788,15788,15788,310.667,134.000,1,7,1
7,0,3780,3780,3780,186.000,278.667,1,2,1
8,0,6012,6012,6012,161.333,307.333,1,4,1
9,0,3546,3546,3546,142.667,351.333,1,4,1
10,0,4627,4627,4627,293.333,344.667,1,5,1
11,0,5289,5289,5289,278.000,235.333,1,4,1
12,0,5390,5390,5390,196.000,341.333,1,8,1
13,0,7130,7130,7130,285.333,399.333,1,8,1
14,0,4301,4301,4301,250.000,381.333,1,9,1
15,0,4033,4033,4033,232.667,397.333,1,10,1
16,0,5344,5344,5344,182.000,445.333,1,12,1
17,0,6407,6407,6407,94.000,340.667,1,12,1
18,0,5096,5096,5096,137.333,328.667,1,15,1
19,0,12333,12333,12333,367.333,396.667,1,15,1
20,0,3111,3111,3111,238.667,288.000,1,15,1
21,0,11699,11699,11699,276.000,270.667,1,13,1
22,0,3572,3572,3572,243.333,393.333,1,13,1
23,0,4275,4275,4275,356.667,326.667,1,11,1
24,0,1098,1098,1098,46.667,369.333,1,1,1
25,0,5371,5371,5371,28.000,254.667,1,5,1
26,0,5099,5099,5099,184.000,192.667,1,1,1
27,0,5820,5820,5820,185.333,204.000,1,8,1
28,0,8095,8095,8095,129.333,181.333,1,10,1
29,0,7879,7879,7879,72.667,260.000,1,8,1
30,0,2089,2089,2089,11.333,292.000,1,9,1
31,0,2065,2065,2065,113.333,393.333,1,9,1
32,0,10072,10072,10072,180.667,124.000,1,8,1
33,0,6557,6557,6557,245.333,133.333,1,10,1
34,0,4501,4501,4501,430.000,171.333,1,11,1
35,0,4296,4296,4296,226.000,159.333,1,12,1
36,0,4874,4874,4874,212.667,221.333,1,11,1
37,0,11692,11692,11692,78.667,108.000,1,13,1
38,0,7014,7014,7014,32.000,44.667,1,8,1
39,0,3179,3179,3179,20.667,117.333,1,8,1
40,0,5129,5129,5129,165.333,87.333,1,4,1
41,0,3300,3300,3300,172.000,49.333,1,2,1
42,0,3406,3406,3406,278.000,15.333,1,12,1
43,0,2963,2963,2963,370.000,27.333,1,12,1
44,0,3698,3698,3698,390.667,32.667,1,15,1
45,0,9351,9351,9351,354.667,116.000,1,15,1
46,0,5522,5522,5522,412.000,203.333,1,15,1
47,0,4144,4144,4144,462.667,181.333,1,14,1
48,0,5352,5352,5352,450.667,64.667,1,13,1
49,0,6673,6673,6673,444.000,38.667,1,14,1
50,0,6181,6181,6181,20.667,32.000,1,14,1
51,0,2907,2907,2907,434.000,135.333,1,15,1
52,0,3225,3225,3225,18.667,100.667,1,15,1
53,0,1330,1330,1330,75.333,443.333,1,15,1
54,0,9771,9771,9771,348.667,216.000,1,7,1
