 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,316,316,316,238,204,1,2,1
2,0,318,318,318,281,237,1,2,1
3,0,310,310,310,236,368,1,1,1
4,0,318,318,318,221,380,1,1,1
5,0,325,325,325,233,317,1,1,1
6,0,332,332,332,201,264,1,1,1
7,0,314,314,314,334,256,1,3,1
8,0,312,312,312,348,317,1,4,1
9,0,312,312,312,150,101,1,2,1
10,0,324,324,324,106,349,1,4,1
11,0,323,323,323,132,319,1,4,1
12,0,315,315,315,145,300,1,5,1
13,0,314,314,314,160,293,1,5,1
14,0,314,314,314,144,404,1,6,1
15,0,308,308,308,85,415,1,7,1
16,0,313,313,313,194,375,1,8,1
17,0,313,313,313,195,353,1,9,1
18,0,307,307,307,141,386,1,10,1
19,0,315,315,315,133,339,1,8,1
20,0,310,310,310,340,326,1,7,1
21,0,319,319,319,376,361,1,5,1
22,0,310,310,310,352,345,1,6,1
23,0,315,315,315,431,341,1,8,1
24,0,312,312,312,450,324,1,11,1
25,0,327,327,327,474,410,1,9,1
26,0,321,321,321,412,451,1,10,1
27,0,323,323,323,315,434,1,9,1
28,0,311,311,311,277,368,1,11,1
29,0,327,327,327,231,441,1,12,1
30,0,312,312,312,352,356,1,13,1
31,0,316,316,316,341,366,1,13,1
32,0,319,319,319,364,489,1,15,1
33,0,310,310,310,357,390,1,16,1
34,0,312,312,312,309,411,1,15,1
35,0,310,310,310,135,472,1,16,1
36,0,310,310,310,197,464,1,19,1
37,0,311,311,311,164,487,1,20,1
38,0,305,305,305,90,165,1,20,1
39,0,309,309,309,320,277,1,21,1
40,0,315,315,315,368,271,1,19,1
41,0,314,314,314,168,388,1,18,1
42,0,309,309,309,198,390,1,19,1
43,0,311,311,311,279,334,1,13,1
44,0,312,312,312,209,311,1,19,1
45,0,311,311,311,221,292,1,21,1
46,0,320,320,320,285,283,1,6,1
47,0,315,315,315,175,227,1,12,1
48,0,314,314,314,77,135,1,12,1
49,0,311,311,311,51,108,1,10,1
50,0,311,311,311,23,110,1,10,1
51,0,317,317,317,17,79,1,9,1
52,0,316,316,316,14,63,1,8,1
53,0,315,315,315,18,170,1,4,1
54,0,304,304,304,116,173,1,5,1
55,0,308,308,308,124,232,1,7,1
56,0,312,312,312,163,189,1,5,1
57,0,316,316,316,134,138,1,6,1
58,0,350,350,350,187,193,1,6,1
59,0,311,311,311,175,318,1,13,1
60,0,308,308,308,321,332,1,14,1
61,0,330,330,330,204,340,1,5,1
62,0,317,317,317,195,289,1,9,1
63,0,314,314,314,371,299,1,1,1
64,0,310,310,310,438,498,1,10,1
