 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,2311,2311,2311,171,220,1,1,1
2,0,1923,1923,1923,370,289,1,1,1
3,0,1300,1300,1300,335,146,1,1,1
4,0,1932,1932,1932,267,245,1,1,1
5,0,3977,3977,3977,199,14,1,4,1
6,0,4329,4329,4329,106,361,1,13,1
7,0,3201,3201,3201,32,293,1,13,1
8,0,1378,1378,1378,88,158,1,12,1
9,0,3127,3127,3127,165,101,1,15,1
10,0,5497,5497,5497,227,9,1,15,1
11,0,3626,3626,3626,78,255,1,18,1
12,0,2149,2149,2149,179,278,1,19,1
13,0,1575,1575,1575,252,196,1,20,1
14,0,2218,2218,2218,182,92,1,20,1
15,0,1228,1228,1228,429,224,1,20,1
16,0,1553,1553,1553,449,219,1,20,1
17,0,1581,1581,1581,298,59,1,20,1
18,0,1624,1624,1624,400,91,1,17,1
19,0,1976,1976,1976,82,40,1,12,1
20,0,3481,3481,3481,454,48,1,13,1
