 ,Area,Mean,Min,Max,X,Y,Ch,Slice,Frame
1,0,1644,1644,1644,347,195,1,1,1
2,0,2838,2838,2838,175,40,1,3,1
3,0,1896,1896,1896,58,325,1,3,1
4,0,3133,3133,3133,430,94,1,4,1
5,0,2200,2200,2200,491,314,1,4,1
6,0,2364,2364,2364,439,14,1,5,1
7,0,3271,3271,3271,344,172,1,7,1
8,0,3164,3164,3164,414,92,1,7,1
9,0,1414,1414,1414,332,35,1,7,1
10,0,942,942,942,295,20,1,7,1
11,0,2194,2194,2194,375,194,1,5,1
12,0,2062,2062,2062,372,205,1,7,1
13,0,2283,2283,2283,386,210,1,9,1
14,0,3391,3391,3391,421,241,1,15,1
15,0,1151,1151,1151,345,245,1,13,1
16,0,1317,1317,1317,317,265,1,11,1
17,0,1293,1293,1293,396,315,1,13,1
18,0,2061,2061,2061,407,313,1,15,1
19,0,2792,2792,2792,374,467,1,15,1
20,0,1917,1917,1917,471,347,1,15,1
21,0,2298,2298,2298,462,388,1,13,1
22,0,1001,1001,1001,453,412,1,12,1
23,0,1826,1826,1826,482,58,1,14,1
24,0,2979,2979,2979,451,93,1,13,1
25,0,2052,2052,2052,282,35,1,13,1
26,0,1247,1247,1247,27,387,1,13,1
27,0,1147,1147,1147,402,385,1,13,1
28,0,1049,1049,1049,419,378,1,11,1
29,0,832,832,832,485,462,1,14,1
30,0,1289,1289,1289,276,319,1,8,1
31,0,1814,1814,1814,288,411,1,8,1
32,0,1620,1620,1620,481,293,1,13,1
33,0,3353,3353,3353,433,285,1,16,1
34,0,979,979,979,397,247,1,17,1
35,0,1893,1893,1893,124,399,1,8,1
36,0,1244,1244,1244,12,378,1,7,1
37,0,872,872,872,22,453,1,9,1
